temperature,heat_capacity
424.0,34.47553109609005
425.0,34.48468366686874
426.0,34.493859250125865
427.0,34.50305766110132
428.0,34.512278716475265
429.0,34.52152223436502
430.0,34.53078803432189
431.0,34.540075937327664
432.0,34.549385765791016
433.0,34.558717343543734
434.0,34.56807049583658
435.0,34.577445049335296
436.0,34.58684083211611
437.0,34.59625767366136
438.0,34.605695404854735
439.0,34.61515385797654
440.0,34.62463286669872
441.0,34.63413226607979
442.0,34.64365189255958
443.0,34.653191583953976
444.0,34.662751179449366
445.0,34.672330519597075
446.0,34.68192944630776
447.0,34.69154780284547
448.0,34.70118543382187
449.0,34.710842185190145
450.0,34.720517904238974
451.0,34.73021243958628
452.0,34.73992564117306
453.0,34.749657360256876
454.0,34.75940744940559
455.0,34.76917576249073
456.0,34.77896215468103
457.0,34.78876648243564
458.0,34.798588603497585
459.0,34.80842837688687
460.0,34.818285662893715
461.0,34.82816032307163
462.0,34.838052220230544
463.0,34.847961218429795
464.0,34.857887182971076
465.0,34.86782998039142
466.0,34.87778947845605
467.0,34.88776554615126
468.0,34.89775805367718
469.0,34.90776687244066
470.0,34.91779187504792
471.0,34.927832935297324
472.0,34.9378899281721
473.0,34.947962729832966
474.0,34.95805121761085
475.0,34.96815526999944
476.0,34.97827476664788
477.0,34.98840958835334
478.0,34.99855961705354
479.0,35.00872473581948
480.0,35.01890482884783
481.0,35.02909978145361
482.0,35.03930948006265
483.0,35.04953381220421
484.0,35.05977266650345
485.0,35.070025932673964
486.0,35.08029350151042
487.0,35.09057526488094
488.0,35.10087111571972
489.0,35.11118094801956
490.0,35.12150465682438
491.0,35.1318421382218
492.0,35.142193289335644
493.0,35.15255800831854
494.0,35.16293619434445
495.0,35.17332774760125
496.0,35.1837325692834
497.0,35.19415056158436
498.0,35.20458162768939
499.0,35.21502567176809
500.0,35.22548259896695
501.0,35.235952315402166
502.0,35.2464347281522
503.0,35.256929745250524
504.0,35.267437275678205
505.0,35.27795722935678
506.0,35.28848951714086
507.0,35.299034050811
508.0,35.30959074306636
509.0,35.320159507517594
510.0,35.330740258679604
511.0,35.34133291196442
512.0,35.35193738367406
513.0,35.362553590993386
514.0,35.373181451983044
515.0,35.383820885572334
516.0,35.39447181155227
517.0,35.40513415056848
518.0,35.41580782411423
519.0,35.426492754523466
520.0,35.437188864963844
521.0,35.44789607942988
522.0,35.458614322735976
523.0,35.46934352050962
524.0,35.4800835991845
525.0,35.490834485993794
526.0,35.501596108963255
527.0,35.512368396904535
528.0,35.5231512794085
529.0,35.53394468683848
530.0,35.544748550323575
531.0,35.55556280175212
532.0,35.566387373765
533.0,35.57722219974913
534.0,35.58806721383081
535.0,35.598922350869344
536.0,35.60978754645046
537.0,35.620662736879915
538.0,35.63154785917698
539.0,35.64244285106818
540.0,35.65334765098081
541.0,35.66426219803671
542.0,35.67518643204582
543.0,35.68612029350007
544.0,35.69706372356708
545.0,35.7080166640839
546.0,35.718979057550904
547.0,35.72995084712563
548.0,35.740931976616665
549.0,35.75192239047754
550.0,35.762922033800734
551.0,35.77393085231161
552.0,35.784948792362464
553.0,35.79597580092652
554.0,35.80701182559211
555.0,35.81805681455667
556.0,35.82911071662093
557.0,35.84017348118312
558.0,35.85124505823312
559.0,35.86232539834675
560.0,35.873414452679995
561.0,35.88451217296333
562.0,35.89561851149604
563.0,35.906733421140615
564.0,35.91785685531709
565.0,35.928988767997545
566.0,35.94012911370049
567.0,35.95127784748545
568.0,35.962434924947324
569.0,35.973600302211175
570.0,35.98477393592658
571.0,35.99595578326241
572.0,36.00714580190137
573.0,36.018343950034804
574.0,36.02955018635725
575.0,36.04076447006126
576.0,36.05198676083224
577.0,36.06321701884312
578.0,36.07445520474928
579.0,36.08570127968335
580.0,36.09695520525016
581.0,36.10821694352163
582.0,36.11948645703179
583.0,36.13076370877161
584.0,36.142048662184195
585.0,36.15334128115975
586.0,36.1646415300306
587.0,36.17594937356643
588.0,36.18726477696928
589.0,36.19858770586883
590.0,36.20991812631747
591.0,36.22125600478563
592.0,36.232601308157
593.0,36.24395400372379
594.0,36.25531405918205
595.0,36.26668144262701
596.0,36.27805612254846
597.0,36.28943806782615
598.0,36.30082724772518
599.0,36.3122236318915
600.0,36.32362719034736
601.0,36.33503789348682
602.0,36.34645571207132
603.0,36.35788061722519
604.0,36.36931258043133
605.0,36.38075157352672
606.0,36.39219756869819
607.0,36.403650538477955
608.0,36.41511045573948
609.0,36.42657729369306
610.0,36.438051025881684
611.0,36.449531626176785
612.0,36.461019068774
613.0,36.472513328189095
614.0,36.48401437925376
615.0,36.49552219711155
616.0,36.50703675721373
617.0,36.51855803531533
618.0,36.53008600747099
619.0,36.54162065003102
620.0,36.55316193963742
621.0,36.564709853219895
622.0,36.57626436799195
623.0,36.587825461447
624.0,36.5993931113544
625.0,36.61096729575573
626.0,36.622547992960826
627.0,36.63413518154407
628.0,36.64572884034058
629.0,36.657328948442434
630.0,36.668935485194964
631.0,36.68054843019299
632.0,36.69216776327725
633.0,36.703793464530584
634.0,36.71542551427447
635.0,36.72706389306523
636.0,36.73870858169055
637.0,36.75035956116595
638.0,36.76201681273109
639.0,36.77368031784638
640.0,36.785350058189415
641.0,36.79702601565155
642.0,36.80870817233438
643.0,36.82039651054635
644.0,36.83209101279936
645.0,36.84379166180532
646.0,36.85549844047284
647.0,36.867211331903874
648.0,36.87893031939035
649.0,36.89065538641096
650.0,36.9023865166278
651.0,36.91412369388314
652.0,36.925866902196184
653.0,36.93761612575989
654.0,36.9493713489377
655.0,36.961132556260445
656.0,36.97289973242315
657.0,36.98467286228189
658.0,36.99645193085071
659.0,37.008236923298504
660.0,37.020027824946006
661.0,37.03182462126257
662.0,37.04362729786342
663.0,37.05543584050633
664.0,37.06725023508885
665.0,37.079070467645245
666.0,37.090896524343506
667.0,37.10272839148255
668.0,37.114566055489114
669.0,37.12640950291504
670.0,37.138258720434266
671.0,37.150113694840044
672.0,37.16197441304203
673.0,37.17384086206357
674.0,37.18571302903878
675.0,37.19759090120982
676.0,37.209474465924096
677.0,37.221363710631586
678.0,37.233258622881976
679.0,37.24515919032211
680.0,37.257065400693115
681.0,37.26897724182787
682.0,37.280894701648286
683.0,37.29281776816266
684.0,37.30474642946299
685.0,37.316680673722544
686.0,37.32862048919306
687.0,37.340565864202276
688.0,37.35251678715137
689.0,37.36447324651241
690.0,37.37643523082579
691.0,37.38840272869779
692.0,37.400375728798
693.0,37.4123542198569
694.0,37.424338190663406
695.0,37.43632763006238
696.0,37.448322526952225
697.0,37.460322870282475
698.0,37.47232864905138
699.0,37.484339852303556
700.0,37.49635646912758
701.0,37.508378488653676
702.0,37.52040590005133
703.0,37.53243869252701
704.0,37.544476855321854
705.0,37.556520377709354
706.0,37.568569248993114
707.0,37.58062345850453
708.0,37.592682995600654
709.0,37.604747849661834
710.0,37.61681801008955
711.0,37.62889346630424
712.0,37.640974207743064
713.0,37.65306022385777
714.0,37.66515150411246
715.0,37.677248037981535
716.0,37.689349814947505
717.0,37.70145682449886
718.0,37.713569056128
719.0,37.725686499329136
720.0,37.73780914359618
721.0,37.7499369784207
722.0,37.76206999328989
723.0,37.77420817768448
724.0,37.78635152107676
725.0,37.79850001292849
726.0,37.810653642689026
727.0,37.82281239979321
728.0,37.83497627365943
729.0,37.84714525368772
730.0,37.85931932925771
731.0,37.87149848972679
732.0,37.88368272442806
733.0,37.895872022668584
734.0,37.9080663737273
735.0,37.92026576685333
736.0,37.9324701912639
737.0,37.94467963614264
738.0,37.95689409063765
739.0,37.969113543859706
740.0,37.98133798488034
741.0,37.99356740273014
742.0,38.0058017863969
743.0,38.01804112482376
744.0,38.03028540690754
745.0,38.04253462149685
746.0,38.05478875739045
747.0,38.06704780333537
748.0,38.07931174802531
749.0,38.09158058009882
750.0,38.10385428813758
751.0,38.11613286066475
752.0,38.12841628614323
753.0,38.14070455297403
754.0,38.15299764949453
755.0,38.165295563976876
756.0,38.17759828462627
757.0,38.1899057995794
758.0,38.20221809690272
759.0,38.21453516459094
760.0,38.2268569905653
761.0,38.23918356267206
762.0,38.251514868680864
763.0,38.26385089628315
764.0,38.27619163309062
765.0,38.2885370666337
766.0,38.30088718435984
767.0,38.313241973632174
768.0,38.325601421727875
769.0,38.33796551583664
770.0,38.3503342430592
771.0,38.36270759040579
772.0,38.37508554479472
773.0,38.38746809305081
774.0,38.39985522190396
775.0,38.41224691798769
776.0,38.42464316783764
777.0,38.437043957890175
778.0,38.449449274480926
779.0,38.46185910384336
780.0,38.47427343210733
781.0,38.48669224529772
782.0,38.49911552933303
783.0,38.51154327002393
784.0,38.52397545307194
785.0,38.536412064067996
786.0,38.54885308849113
787.0,38.56129851170713
788.0,38.573748318967034
789.0,38.58620249540602
790.0,38.59866102604192
791.0,38.6111238957739
792.0,38.623591089381186
793.0,38.63606259152175
794.0,38.648538386731
795.0,38.66101845942045
796.0,38.673502793876445
797.0,38.68599137425901
798.0,38.69848418460038
799.0,38.710981208803844
800.0,38.723482430642505
801.0,38.735987833757996
802.0,38.74849740165923
803.0,38.76101111772123
804.0,38.7735289651838
805.0,38.78605092715045
806.0,38.79857698658706
807.0,38.81110712632074
808.0,38.823641329038615
809.0,38.836179577286686
810.0,38.84872185346855
811.0,38.861268139844306
812.0,38.8738184185294
813.0,38.88637267149343
814.0,38.89893088055899
815.0,38.9114930274005
816.0,38.92405909354322
